period,type,goal,metric,target,notes
Week1,weekly,テーマ決め/初投稿,投稿本数,1,テンプレ整備を優先
Week2,weekly,量産開始,投稿本数,8,ショート6記事2
Week3,weekly,伸び型倍化,平均視聴維持,40%,ABテスト
Week4,weekly,収益導線整備,CVR,1.5%,比較/レビュー
Week5,weekly,量産+最適化,出力本数,9,
Week6,weekly,外部露出,流入数,200,サロン/SNS
Week7,weekly,導線改善,クリック率,3%,CTAチューニング
Week8,weekly,検索上位獲得,上位表示数,5,差分改善
Week9,weekly,更新サイクル確立,週次更新回数,3,
Week10,weekly,伸び筋集中,出力集中率,70%,捨てる決断
Week11,weekly,収益最大化,月次CVR,2.5%,導線改修
Week12,weekly,安定運用,週次更新回数,3,仕組み化
Month1,monthly,初収益,収益額,1000,または初レビュー
Month2,monthly,1万円レンジ,収益額,10000,KPI安定
Month3,monthly,月3万円達成,収益額,30000,または見込み達成
